epoch,train_loss,train_dice,train_f1,train_accuracy,train_precision,train_recall,train_dice_w_bg,train_f1_w_bg,train_accuracy_w_bg,train_precision_w_bg,train_recall_w_bg,val_loss,val_dice,val_f1,val_accuracy,val_precision,val_recall,val_dice_w_bg,val_f1_w_bg,val_accuracy_w_bg,val_precision_w_bg,val_recall_w_bg
1,0.6707262718773691,0.02146962471306324,0.1511097401380539,0.12428659200668335,0.2740803360939026,0.12428659200668335,0.05363970622420311,0.1710583120584488,0.15792855620384216,0.2388697862625122,0.15792855620384216,0.32469966048247195,0.021684637293219566,0.15475118160247803,0.11438681185245514,0.31851592659950256,0.11438681185245514,0.05491398274898529,0.18270686268806458,0.14974282681941986,0.3030720055103302,0.14974282681941986
2,0.38639567239959377,0.026495257392525673,0.22974492609500885,0.1898553967475891,0.42016881704330444,0.1898553967475891,0.05912342295050621,0.25067904591560364,0.2244635820388794,0.3794281482696533,0.2244635820388794,0.30196716462912626,0.025565803050994873,0.18607103824615479,0.14326626062393188,0.3968108296394348,0.14326626062393188,0.058731600642204285,0.2093406617641449,0.1783243715763092,0.36687976121902466,0.1783243715763092
3,0.34970581571769815,0.028897516429424286,0.2701742649078369,0.2218530774116516,0.5625076293945312,0.2218530774116516,0.06154186651110649,0.28926053643226624,0.25645387172698975,0.46530038118362427,0.25645387172698975,0.2940510239911406,0.026563704013824463,0.21904414892196655,0.1674715280532837,0.3932015597820282,0.1674715280532837,0.05968049168586731,0.24033412337303162,0.20259582996368408,0.34943753480911255,0.20259582996368408
4,0.3243367529645045,0.030607188120484352,0.3120197653770447,0.25438761711120605,0.5833499431610107,0.25438761711120605,0.06326033920049667,0.328495591878891,0.28898492455482483,0.5043923854827881,0.28898492455482483,0.2914285751646512,0.02816847153007984,0.2513432800769806,0.2039552628993988,0.464924693107605,0.2039552628993988,0.061262890696525574,0.2673834562301636,0.23904231190681458,0.43053317070007324,0.23904231190681458
5,0.3048770340993838,0.03201974183320999,0.3509525656700134,0.28612130880355835,0.5942034721374512,0.28612130880355835,0.0646776482462883,0.3649408221244812,0.32070937752723694,0.5167092680931091,0.32070937752723694,0.2816806635628008,0.026860684156417847,0.25129663944244385,0.2023407518863678,0.48267310857772827,0.2023407518863678,0.05998288094997406,0.26477837562561035,0.2375163733959198,0.40849077701568604,0.2375163733959198
