epoch,train_loss,train_dice,train_f1,train_accuracy,train_precision,train_recall,train_dice_w_bg,train_f1_w_bg,train_accuracy_w_bg,train_precision_w_bg,train_recall_w_bg,val_loss,val_dice,val_f1,val_accuracy,val_precision,val_recall,val_dice_w_bg,val_f1_w_bg,val_accuracy_w_bg,val_precision_w_bg,val_recall_w_bg
1,0.37732813882852845,0.053328998386859894,0.32960063219070435,0.2882786691188812,0.4379458427429199,0.2882786691188812,0.0863228514790535,0.3500909209251404,0.3232564330101013,0.4136146605014801,0.3232564330101013,0.15396021184039443,0.06814607232809067,0.3999108672142029,0.37769755721092224,0.4824477732181549,0.37769755721092224,0.10103026777505875,0.41534924507141113,0.41311296820640564,0.46806949377059937,0.41311296820640564
2,0.15369497519999126,0.0672277957201004,0.517225444316864,0.4640258252620697,0.7063711881637573,0.4640258252620697,0.10008223354816437,0.5372741222381592,0.49940869212150574,0.6900205612182617,0.49940869212150574,0.1371290650065631,0.07319281250238419,0.4879721403121948,0.46317699551582336,0.5551615953445435,0.46317699551582336,0.10595293343067169,0.4973624646663666,0.4985668361186981,0.5307684540748596,0.4985668361186981
3,0.11350800069810131,0.07214487344026566,0.6135580539703369,0.5605387687683105,0.7715152502059937,0.5605387687683105,0.10488631576299667,0.6317263245582581,0.5959439277648926,0.7533303499221802,0.5959439277648926,0.12402169727911688,0.07598912715911865,0.5333825349807739,0.4993799924850464,0.6766887903213501,0.4993799924850464,0.10866677016019821,0.5416795015335083,0.5348150134086609,0.6285946369171143,0.5348150134086609
4,0.08643936413666609,0.07558167725801468,0.6940775513648987,0.6358640193939209,0.8049163818359375,0.6358640193939209,0.10823774337768555,0.7106020450592041,0.6712883710861206,0.7829002141952515,0.6712883710861206,0.12585162197890348,0.07700112462043762,0.5538223385810852,0.521481990814209,0.6590589880943298,0.521481990814209,0.10965550690889359,0.5607036352157593,0.5568974018096924,0.6071574687957764,0.5568974018096924
5,0.07208702042150063,0.07799522578716278,0.7357057929039001,0.6814010143280029,0.8254309892654419,0.6814010143280029,0.11059007048606873,0.7513258457183838,0.7168399095535278,0.8042913675308228,0.7168399095535278,0.12528601472508416,0.07747228443622589,0.5731087327003479,0.532730758190155,0.6781604290008545,0.532730758190155,0.11011889576911926,0.5796458721160889,0.5681546926498413,0.6312521696090698,0.5681546926498413
