epoch,train_loss,train_dice,train_f1,train_accuracy,train_precision,train_recall,train_dice_w_bg,train_f1_w_bg,train_accuracy_w_bg,train_precision_w_bg,train_recall_w_bg,val_loss,val_dice,val_f1,val_accuracy,val_precision,val_recall,val_dice_w_bg,val_f1_w_bg,val_accuracy_w_bg,val_precision_w_bg,val_recall_w_bg
1,0.37793066707625594,0.043414536863565445,0.2683032751083374,0.23084789514541626,0.383080393075943,0.23084789514541626,0.07652455568313599,0.29046961665153503,0.2657645344734192,0.3671848177909851,0.2657645344734192,0.18580752138433784,0.055587925016880035,0.3233330547809601,0.2888348400592804,0.45547157526016235,0.2888348400592804,0.08874350786209106,0.3432691693305969,0.3241880536079407,0.41370952129364014,0.3241880536079407
2,0.19255771008602718,0.0558590292930603,0.43703693151474,0.3831216096878052,0.596853494644165,0.3831216096878052,0.08892390131950378,0.45741844177246094,0.4184037446975708,0.5753190517425537,0.4184037446975708,0.16677001159766625,0.061185162514448166,0.40792471170425415,0.36386093497276306,0.5011361241340637,0.36386093497276306,0.09420975297689438,0.4174041748046875,0.39916571974754333,0.45806559920310974,0.39916571974754333
3,0.15022646944992105,0.060445837676525116,0.5220218896865845,0.46321722865104675,0.7648779153823853,0.46321722865104675,0.09341957420110703,0.5403644442558289,0.4985204041004181,0.7420351505279541,0.4985204041004181,0.15871771209198854,0.06281956285238266,0.4385191798210144,0.39395856857299805,0.6047242879867554,0.39395856857299805,0.09581256657838821,0.44559162855148315,0.42928576469421387,0.5694984197616577,0.42928576469421387
4,0.12436279697622679,0.06341662257909775,0.5795682668685913,0.5195261240005493,0.7701722383499146,0.5195261240005493,0.09632266312837601,0.596707820892334,0.5548416972160339,0.735468864440918,0.5548416972160339,0.1630383799816,0.06209735572338104,0.45038488507270813,0.3962211608886719,0.6029409170150757,0.3962211608886719,0.09512752294540405,0.45534712076187134,0.43154144287109375,0.5447607040405273,0.43154144287109375
5,0.10852131862565745,0.0656220093369484,0.6229861974716187,0.5607395172119141,0.7892679572105408,0.5607395172119141,0.09847814589738846,0.639352560043335,0.5960676670074463,0.7500836849212646,0.5960676670074463,0.15369809133739307,0.06379704922437668,0.4694088399410248,0.42325878143310547,0.6088147163391113,0.42325878143310547,0.0967741310596466,0.4777917265892029,0.4586087465286255,0.5438048839569092,0.4586087465286255
