epoch,train_loss,train_dice,train_f1,train_accuracy,train_precision,train_recall,train_dice_w_bg,train_f1_w_bg,train_accuracy_w_bg,train_precision_w_bg,train_recall_w_bg,val_loss,val_dice,val_f1,val_accuracy,val_precision,val_recall,val_dice_w_bg,val_f1_w_bg,val_accuracy_w_bg,val_precision_w_bg,val_recall_w_bg
1,0.3747677940265081,0.04509573057293892,0.24687623977661133,0.21434110403060913,0.3308354318141937,0.21434110403060913,0.07805591821670532,0.2648842930793762,0.24922388792037964,0.30045634508132935,0.24922388792037964,0.207158734435088,0.058262232691049576,0.3083370327949524,0.27081525325775146,0.4668070375919342,0.27081525325775146,0.09132498502731323,0.32488393783569336,0.306043803691864,0.44021689891815186,0.306043803691864
2,0.23001915246499124,0.0554913729429245,0.38818103075027466,0.3355942964553833,0.6071673631668091,0.3355942964553833,0.08854760229587555,0.40971654653549194,0.3708770275115967,0.5748268365859985,0.3708770275115967,0.19392753484314434,0.05994029343128204,0.37223297357559204,0.33251509070396423,0.594372034072876,0.33251509070396423,0.09300176054239273,0.38156551122665405,0.36776506900787354,0.5307535529136658,0.36776506900787354
3,0.19878675770609056,0.05878567695617676,0.45069634914398193,0.39129525423049927,0.6468381881713867,0.39129525423049927,0.09178512543439865,0.4706098735332489,0.42659321427345276,0.6162520051002502,0.42659321427345276,0.1915402785964208,0.05894812196493149,0.36685073375701904,0.3120711147785187,0.6085817813873291,0.3120711147785187,0.09201671928167343,0.38562536239624023,0.3474475145339966,0.5730913877487183,0.3474475145339966
4,0.17969484500762078,0.06077737361192703,0.49570101499557495,0.4294666647911072,0.6940968036651611,0.4294666647911072,0.09373428672552109,0.5142514705657959,0.4647707939147949,0.6597397327423096,0.4647707939147949,0.18868521733643256,0.06085687503218651,0.39721375703811646,0.3532887101173401,0.5883429050445557,0.3532887101173401,0.09382686764001846,0.40565502643585205,0.3884561061859131,0.5350514650344849,0.3884561061859131
5,0.16354496924187667,0.0622740238904953,0.5299367308616638,0.46158069372177124,0.7078385949134827,0.46158069372177124,0.09519724547863007,0.5478042364120483,0.4968900680541992,0.67491614818573,0.4968900680541992,0.1758028948551988,0.06475933641195297,0.4030809998512268,0.36010637879371643,0.6041488647460938,0.36010637879371643,0.09767355024814606,0.4185822010040283,0.3954314887523651,0.5622400045394897,0.3954314887523651
