epoch,train_loss,train_dice,train_f1,train_accuracy,train_precision,train_recall,train_dice_w_bg,train_f1_w_bg,train_accuracy_w_bg,train_precision_w_bg,train_recall_w_bg,val_loss,val_dice,val_f1,val_accuracy,val_precision,val_recall,val_dice_w_bg,val_f1_w_bg,val_accuracy_w_bg,val_precision_w_bg,val_recall_w_bg
1,0.40768591198598225,0.03527887165546417,0.16256386041641235,0.14234262704849243,0.26538556814193726,0.14234262704849243,0.068496935069561,0.19131535291671753,0.1774156093597412,0.273658812046051,0.1774156093597412,0.24350024287042946,0.04586661607027054,0.18645215034484863,0.16369330883026123,0.25222402811050415,0.16369330883026123,0.07919647544622421,0.21439827978610992,0.19903290271759033,0.2621909976005554,0.19903290271759033
2,0.2846625218699502,0.045418087393045425,0.25313419103622437,0.22486796975135803,0.4271852374076843,0.22486796975135803,0.07866961508989334,0.2804715633392334,0.2600984573364258,0.4185224175453186,0.2600984573364258,0.23133769429706294,0.04823876544833183,0.20746257901191711,0.17901235818862915,0.34417790174484253,0.17901235818862915,0.08154617995023727,0.23666954040527344,0.2144167721271515,0.34931474924087524,0.2144167721271515
3,0.2509600235542045,0.048975422978401184,0.3053598999977112,0.26778843998908997,0.550857424736023,0.26778843998908997,0.08218877017498016,0.3316274881362915,0.30304038524627686,0.5202429890632629,0.30304038524627686,0.22070367069079957,0.05148186907172203,0.23995395004749298,0.21459177136421204,0.3783380687236786,0.21459177136421204,0.08472761511802673,0.26666849851608276,0.24993006885051727,0.37458643317222595,0.24993006885051727
4,0.23013902510410597,0.051248274743556976,0.34418627619743347,0.29898297786712646,0.5961823463439941,0.29898297786712646,0.08442924916744232,0.36945950984954834,0.3342529535293579,0.5718517303466797,0.3342529535293579,0.21488643162723245,0.05247732251882553,0.2694441080093384,0.23209546506404877,0.4922371506690979,0.23209546506404877,0.08571317791938782,0.29587429761886597,0.2674645781517029,0.4807560443878174,0.2674645781517029
5,0.21264018522643274,0.05282723531126976,0.38218411803245544,0.33018094301223755,0.6633574962615967,0.33018094301223755,0.08598651736974716,0.40623733401298523,0.3654564619064331,0.628792405128479,0.3654564619064331,0.20650066870810657,0.054801590740680695,0.3016127943992615,0.2551194727420807,0.5154987573623657,0.2551194727420807,0.08795687556266785,0.3265775442123413,0.2904738783836365,0.49879321455955505,0.2904738783836365
