epoch,train_loss,train_dice,train_f1,train_accuracy,train_precision,train_recall,train_dice_w_bg,train_f1_w_bg,train_accuracy_w_bg,train_precision_w_bg,train_recall_w_bg,val_loss,val_dice,val_f1,val_accuracy,val_precision,val_recall,val_dice_w_bg,val_f1_w_bg,val_accuracy_w_bg,val_precision_w_bg,val_recall_w_bg
1,0.5972487172638571,0.029233314096927643,0.12789508700370789,0.11066096276044846,0.1794866919517517,0.11066096276044846,0.061637330800294876,0.150938481092453,0.14466598629951477,0.16871757805347443,0.14466598629951477,0.29790435667181836,0.03894239291548729,0.16768798232078552,0.14897671341896057,0.251921147108078,0.14897671341896057,0.07225944101810455,0.1932075321674347,0.18409404158592224,0.24662235379219055,0.18409404158592224
2,0.33151516851718776,0.039567992091178894,0.22076117992401123,0.191645547747612,0.39206355810165405,0.191645547747612,0.07271052896976471,0.24769975244998932,0.22675710916519165,0.36342132091522217,0.22675710916519165,0.26267750458470707,0.041981883347034454,0.1950303018093109,0.1699559986591339,0.3712359070777893,0.1699559986591339,0.07531959563493729,0.22138962149620056,0.20523910224437714,0.3511943221092224,0.20523910224437714
3,0.2911695179684232,0.04283354431390762,0.26678091287612915,0.23080755770206451,0.45795583724975586,0.23080755770206451,0.07596978545188904,0.29238829016685486,0.265941321849823,0.4317830801010132,0.265941321849823,0.2504863726553218,0.044849004596471786,0.21120288968086243,0.18183256685733795,0.4032217562198639,0.18183256685733795,0.07814785093069077,0.23527690768241882,0.21699711680412292,0.3765072226524353,0.21699711680412292
4,0.2671058580194425,0.044873546808958054,0.2995947599411011,0.25843697786331177,0.533888041973114,0.25843697786331177,0.07799339294433594,0.3241637945175171,0.29357588291168213,0.4936351478099823,0.29357588291168213,0.24038997781944685,0.045751266181468964,0.23407812416553497,0.2024952620267868,0.4668397903442383,0.2024952620267868,0.07905906438827515,0.25880128145217896,0.23770859837532043,0.4376448094844818,0.23770859837532043
5,0.2482203052613961,0.046481601893901825,0.3282989263534546,0.28243839740753174,0.5639255046844482,0.28243839740753174,0.07958193868398666,0.35187798738479614,0.317579984664917,0.5215899348258972,0.317579984664917,0.2399231638117083,0.04689610376954079,0.2619225084781647,0.22833487391471863,0.4339892268180847,0.22833487391471863,0.08015517145395279,0.28580933809280396,0.2636217176914215,0.4107753038406372,0.2636217176914215
