epoch,train_loss,train_dice,train_f1,train_accuracy,train_precision,train_recall,train_dice_w_bg,train_f1_w_bg,train_accuracy_w_bg,train_precision_w_bg,train_recall_w_bg,val_loss,val_dice,val_f1,val_accuracy,val_precision,val_recall,val_dice_w_bg,val_f1_w_bg,val_accuracy_w_bg,val_precision_w_bg,val_recall_w_bg
1,0.44275878799307644,0.033474382013082504,0.1545071005821228,0.136418417096138,0.249413400888443,0.136418417096138,0.06664298474788666,0.18256010115146637,0.17133554816246033,0.24792703986167908,0.17133554816246033,0.25362257669711935,0.043345287442207336,0.17159336805343628,0.14914651215076447,0.24794204533100128,0.14914651215076447,0.07673149555921555,0.20095527172088623,0.18450576066970825,0.26317957043647766,0.18450576066970825
2,0.28256477136066904,0.04481414332985878,0.25016549229621887,0.22449639439582825,0.3977121412754059,0.22449639439582825,0.07808052748441696,0.2777155041694641,0.2597203850746155,0.3774869441986084,0.2597203850746155,0.2318855572363426,0.047592826187610626,0.2075858861207962,0.17861303687095642,0.3247138559818268,0.17861303687095642,0.08091171085834503,0.2349788397550583,0.21394211053848267,0.3353350758552551,0.21394211053848267
3,0.24658678274082954,0.04855239763855934,0.29664430022239685,0.2651093006134033,0.5056329965591431,0.2651093006134033,0.0817788690328598,0.3230595588684082,0.3003566265106201,0.4967619478702545,0.3003566265106201,0.2243504400397169,0.05131516233086586,0.22626501321792603,0.2007501870393753,0.35942769050598145,0.2007501870393753,0.08455312997102737,0.2524615526199341,0.23609238862991333,0.35855865478515625,0.23609238862991333
4,0.22333769240360726,0.05096603184938431,0.3344312310218811,0.2967289686203003,0.5659524202346802,0.2967289686203003,0.08415693044662476,0.3600374162197113,0.3319903016090393,0.5491815805435181,0.3319903016090393,0.21202534889352734,0.05297093093395233,0.27830034494400024,0.23874062299728394,0.4599037170410156,0.23874062299728394,0.08618223667144775,0.30408304929733276,0.27407175302505493,0.45043450593948364,0.27407175302505493
5,0.20553606464643515,0.05273079872131348,0.377355694770813,0.3302306830883026,0.5778520107269287,0.3302306830883026,0.08589185029268265,0.4017024040222168,0.36549845337867737,0.5513890385627747,0.36549845337867737,0.20603942429197245,0.054232291877269745,0.29079291224479675,0.2508035898208618,0.4786345958709717,0.2508035898208618,0.08742868155241013,0.3158893883228302,0.2861618399620056,0.4661704897880554,0.2861618399620056
