epoch,train_loss,train_dice,train_f1,train_accuracy,train_precision,train_recall,train_dice_w_bg,train_f1_w_bg,train_accuracy_w_bg,train_precision_w_bg,train_recall_w_bg,val_loss,val_dice,val_f1,val_accuracy,val_precision,val_recall,val_dice_w_bg,val_f1_w_bg,val_accuracy_w_bg,val_precision_w_bg,val_recall_w_bg
1,0.4071240275575587,0.03643595799803734,0.18827782571315765,0.1615176498889923,0.27652299404144287,0.1615176498889923,0.0694393739104271,0.21212579309940338,0.19639280438423157,0.25646430253982544,0.19639280438423157,0.26433503607223774,0.043826229870319366,0.20635353028774261,0.17348721623420715,0.3735087513923645,0.17348721623420715,0.07712343335151672,0.2310294210910797,0.20869752764701843,0.3475300073623657,0.20869752764701843
2,0.2859584311554512,0.04438156634569168,0.28429412841796875,0.24327664077281952,0.5085567831993103,0.24327664077281952,0.07752026617527008,0.30900463461875916,0.278417706489563,0.4614471197128296,0.278417706489563,0.24470486558716872,0.04680323973298073,0.23871809244155884,0.2016519457101822,0.3927687704563141,0.2016519457101822,0.08003412932157516,0.26254427433013916,0.23695039749145508,0.3619498908519745,0.23695039749145508
3,0.2569185831750309,0.04674575850367546,0.3306242525577545,0.2813366651535034,0.5800490379333496,0.2813366651535034,0.07985794544219971,0.3539462089538574,0.31648534536361694,0.5307687520980835,0.31648534536361694,0.245740074690046,0.04642607271671295,0.2419072389602661,0.20668479800224304,0.38927993178367615,0.20668479800224304,0.07968377321958542,0.26385629177093506,0.2418968677520752,0.3617295026779175,0.2418968677520752
4,0.23692149795939402,0.0483066625893116,0.3644040822982788,0.31025367975234985,0.6137418746948242,0.31025367975234985,0.0813988670706749,0.38652360439300537,0.34540480375289917,0.5632185339927673,0.34540480375289917,0.23256410159941376,0.0483429841697216,0.263934850692749,0.22586846351623535,0.47981804609298706,0.22586846351623535,0.08158956468105316,0.28586119413375854,0.2611370086669922,0.4390898644924164,0.2611370086669922
5,0.22213376125811443,0.04947071895003319,0.39222294092178345,0.3334304094314575,0.6541163921356201,0.3334304094314575,0.08254619687795639,0.41325080394744873,0.3685840368270874,0.600172758102417,0.3685840368270874,0.2273927920337381,0.048548486083745956,0.29433441162109375,0.25250953435897827,0.5395174026489258,0.25250953435897827,0.08178360760211945,0.3155364692211151,0.287776917219162,0.49840807914733887,0.287776917219162
