epoch,train_loss,train_dice,train_f1,train_accuracy,train_precision,train_recall,train_dice_w_bg,train_f1_w_bg,train_accuracy_w_bg,train_precision_w_bg,train_recall_w_bg,val_loss,val_dice,val_f1,val_accuracy,val_precision,val_recall,val_dice_w_bg,val_f1_w_bg,val_accuracy_w_bg,val_precision_w_bg,val_recall_w_bg
1,0.400821693917734,0.036316193640232086,0.1813856065273285,0.1544995903968811,0.2844133973121643,0.1544995903968811,0.0693550631403923,0.2070315182209015,0.18947967886924744,0.26362258195877075,0.18947967886924744,0.28987088943349903,0.03894183784723282,0.18089692294597626,0.15831929445266724,0.3980458974838257,0.15831929445266724,0.07230926305055618,0.2067888379096985,0.19343730807304382,0.3623616099357605,0.19343730807304382
2,0.3012339211935043,0.04294484853744507,0.2629258632659912,0.22510069608688354,0.5063934326171875,0.22510069608688354,0.07608114182949066,0.28855061531066895,0.2602308988571167,0.45981869101524353,0.2602308988571167,0.25151657623977497,0.04453663155436516,0.23063042759895325,0.200490340590477,0.4079793393611908,0.200490340590477,0.07784675806760788,0.2547910213470459,0.2357865869998932,0.35413825511932373,0.2357865869998932
3,0.27469180595360004,0.04518875479698181,0.29966482520103455,0.25606223940849304,0.544813871383667,0.25606223940849304,0.07830958068370819,0.3242521286010742,0.2912030816078186,0.4952906668186188,0.2912030816078186,0.2472379601335731,0.04508979618549347,0.25357213616371155,0.21229590475559235,0.5234521627426147,0.21229590475559235,0.07838483154773712,0.27557623386383057,0.2475298047065735,0.4204946756362915,0.2475298047065735
4,0.255292425398396,0.04653839394450188,0.3293139338493347,0.28057199716567993,0.5959078073501587,0.28057199716567993,0.07964940369129181,0.3528735041618347,0.3157181739807129,0.5372961759567261,0.3157181739807129,0.25732451870009815,0.046086911112070084,0.2419702261686325,0.20721718668937683,0.400273859500885,0.20721718668937683,0.0792808085680008,0.2639869153499603,0.24235619604587555,0.3668994903564453,0.24235619604587555
5,0.2419529748212502,0.04755748063325882,0.3511607050895691,0.2988162636756897,0.6108148694038391,0.2988162636756897,0.08065278828144073,0.37411776185035706,0.3339623510837555,0.5564655065536499,0.3339623510837555,0.23973647064433015,0.046534594148397446,0.2614094913005829,0.21860960125923157,0.4259033501148224,0.21860960125923157,0.07981312274932861,0.2848329544067383,0.25384455919265747,0.4014967978000641,0.25384455919265747
