epoch,train_loss,train_dice,train_f1,train_accuracy,train_precision,train_recall,train_dice_w_bg,train_f1_w_bg,train_accuracy_w_bg,train_precision_w_bg,train_recall_w_bg,val_loss,val_dice,val_f1,val_accuracy,val_precision,val_recall,val_dice_w_bg,val_f1_w_bg,val_accuracy_w_bg,val_precision_w_bg,val_recall_w_bg
1,0.4228221755442139,0.0360284149646759,0.19197559356689453,0.16524459421634674,0.2696837782859802,0.16524459421634674,0.06897175312042236,0.21494397521018982,0.1999814510345459,0.2506093978881836,0.1999814510345459,0.2735761301974728,0.03732133284211159,0.17630119621753693,0.1424994319677353,0.36388516426086426,0.1424994319677353,0.07086574286222458,0.20483309030532837,0.17775177955627441,0.35636770725250244,0.17775177955627441
2,0.2764446443082031,0.04491132125258446,0.2961341142654419,0.2546941339969635,0.5059298872947693,0.2546941339969635,0.07804986834526062,0.3203617334365845,0.2898392081260681,0.46860045194625854,0.2898392081260681,0.24142510372481935,0.0446995310485363,0.23736591637134552,0.20072214305400848,0.4716399312019348,0.20072214305400848,0.07802873104810715,0.26289230585098267,0.2359870970249176,0.44810256361961365,0.2359870970249176
3,0.2450406529827312,0.04762992262840271,0.3512967526912689,0.2989923357963562,0.5876775979995728,0.2989923357963562,0.08073852211236954,0.3737713694572449,0.33414503931999207,0.543190062046051,0.33414503931999207,0.23066339345827494,0.04594657942652702,0.2589707374572754,0.21525081992149353,0.4557316303253174,0.21525081992149353,0.07923869043588638,0.28419214487075806,0.2505784034729004,0.4233878254890442,0.2505784034729004
4,0.22402895379436513,0.049405455589294434,0.39136454463005066,0.3336324989795685,0.6398187279701233,0.3336324989795685,0.0824907124042511,0.41221117973327637,0.3687887191772461,0.5896928310394287,0.3687887191772461,0.22741679285895333,0.050263699144124985,0.2931831181049347,0.24885711073875427,0.5013980865478516,0.24885711073875427,0.08345001190900803,0.31225019693374634,0.2840173840522766,0.4582942724227905,0.2840173840522766
5,0.2076182494306514,0.05076479911804199,0.4254976511001587,0.36387696862220764,0.6648308038711548,0.36387696862220764,0.08382897078990936,0.4453083574771881,0.3990345299243927,0.6142147779464722,0.3990345299243927,0.21615835289432578,0.051175035536289215,0.30130326747894287,0.261035680770874,0.5513622760772705,0.261035680770874,0.08433467149734497,0.31899625062942505,0.2963182330131531,0.5179165601730347,0.2963182330131531
