mae,mse,perceptual_l2,perceptual_l1,loss
0.15665434548298823,0.033004901709746494,0.00565924250114988,0.021359998489696098,0.01933207207014373
0.06064811670677218,0.00550080117217181,0.003761630967409563,0.014959609203912932,0.004631216087219468
0.03945845013731043,0.003158682573411521,0.003358864896678707,0.01332183926761322,0.003258773733034101
0.02992837750594241,0.002429791747622778,0.0031406936841711203,0.012470572915164157,0.0027852427127687063
0.024277690644313416,0.00207085921245872,0.002975345386331633,0.011851749468716343,0.002523102300624129
0.020618581429352686,0.0018725686540358812,0.002846685891091509,0.011380362857111699,0.002359627272787141
0.01786220966053558,0.0017263888839038801,0.0027338671270085786,0.010988054398425824,0.0022301280056796755
0.015814219360130763,0.0016225944892118995,0.0026344004415168702,0.010644017282565931,0.0021284974656995536
0.014287780444790213,0.0015489491211758094,0.0025467079198935325,0.010347643454206997,0.0020478285224339613
0.012922264247660789,0.0014799411051983511,0.002464534795705422,0.010077064708518777,0.001972237949781549
0.011836258919763016,0.0014227022899085953,0.0023896990396661574,0.00982802218244538,0.0019062006651225452
0.010926562608103492,0.0013728928079671315,0.0023193729977926056,0.009594871936054926,0.0018461329058963884
