mae,mse,perceptual_l2,perceptual_l1,loss
0.16224733272463712,0.031415733135164124,0.0060295480787897066,0.022372471890814472,0.031415733135164124
0.08585038257766364,0.009248629510903198,0.004203700499373154,0.01683017726265423,0.009248629510903198
0.056681414955293836,0.004688039987353383,0.0034784433162000725,0.01428859409895831,0.004688039987353383
0.041754977037547415,0.0030600560990818233,0.003053553680837469,0.012830862911300102,0.0030600560990818233
0.03285897208195387,0.0023073504554669082,0.002768338286548481,0.01187286047969235,0.0023073504554669082
0.026880249484744274,0.0018813853367051242,0.002545968849290584,0.01117138439993197,0.0018813853367051242
0.02262450746419677,0.0016173246198632324,0.00237055620064176,0.010615885606296576,0.0016173246198632324
0.019463869047685458,0.0014415227402727372,0.0022303560000599405,0.010172113424056209,0.0014415227402727372
0.016923867323348253,0.0013087183711228039,0.0021079967036171173,0.009787260488590901,0.0013087183711228039
0.024284019932193743,0.003242112073427041,0.003209848399765632,0.012421556746662236,0.003242112073427041
0.024223963066849735,0.0032608344460052802,0.0033688755212584066,0.012578853182566144,0.0032608344460052802
0.021094071222987607,0.0028067196003427716,0.003188783672929611,0.012102854144965047,0.0028067196003427716
