,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,144643488,19360,119973,9171,6045,51710,993,91559,21866,44861,72244,230982,11502,17799,7494,11628,14298,613,2381,1159,2190,0,18514,1775,96933,46461,18330,9914
1,28929,506008,79969,3187,20683,39070,2934,5935,1562,588,13909,8596,791,0,0,0,0,458,0,17,439,0,0,0,90,1603,3198,0
2,144338,49801,2602778,168480,7801,53670,6770,21280,7561,5464,17974,221631,14111,3273,0,571,7,467,102,42,6024,0,0,0,3,6681,5709,0
3,5860,1116,48705,192852,0,353,0,731,0,3,3581,7732,0,0,0,0,0,0,0,35,0,0,0,0,0,280,45,0
4,17767,407,7319,2853,39469,6960,0,165,0,134,28250,9014,0,0,0,0,0,0,2034,0,0,0,0,0,6,1646,0,0
5,77121,59620,106193,21601,36527,1625640,748,7499,1370,2246,225629,15033,6547,607,0,305,0,2,202,52,741,0,13,8,0,12698,3484,0
6,10750,10660,37386,137,5926,11400,50462,254,66,100,20180,9028,0,0,0,0,0,0,0,0,15,0,0,0,0,310,3174,0
7,133583,3228,25191,157,2570,9582,127,2350300,6512,86278,13412,36921,23804,14,0,20,0,0,17,26,3828,0,18741,251,12479,3634,851,0
8,16390,2025,6407,367,22,752,446,14861,342996,16219,1392,9017,1301,2,0,0,0,0,0,3,501,0,1206,248,1010,1108,14,0
9,66448,1038,14507,3182,0,5145,0,32813,82095,1145963,6485,213763,2945,47,0,0,0,0,297,44,1276,0,719,0,1171,2839,598,0
10,96302,9689,15226,4149,39911,185906,239,11041,2804,9067,1172794,110162,14043,7773,0,151,0,0,571,150,898,0,285,0,875,16336,3250,0
11,316986,51219,185473,41518,1489,66758,112,20868,29121,283764,68392,7801116,199468,1506,7,0,692,0,13,0,6979,0,1870,22,3088,11385,7908,2990
12,17682,8953,33346,0,0,574,0,39524,17145,11392,1904,77793,156874,0,0,0,0,16,44,0,10,0,0,0,341,459,24,0
13,2289,0,1058,0,6098,6341,0,197,0,0,31134,88,0,28891,0,32,224,0,0,0,0,0,2,0,0,0,2180,0
14,15020,0,154,0,0,0,0,0,0,108,0,103,0,0,37354,0,24,0,0,0,3,0,0,0,0,377,0,0
15,18663,0,4745,3802,0,56,0,674,0,0,196,320,0,0,7,97985,2075,0,0,0,0,0,0,0,0,4841,1271,0
16,37127,0,2088,0,0,25,0,0,0,0,0,9432,0,0,66,761,42857,0,0,0,0,0,0,0,0,28,0,0
17,0,489,0,0,0,4,130,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0
18,6116,0,534,192,0,306,0,101,0,152,2455,1489,1358,0,0,0,0,0,8629,184,43,0,0,2,0,97,0,0
19,9117,45,447,5,0,192,0,6,5,27,75,109,23,0,0,0,0,0,0,2416,47,0,0,0,0,66,0,0
20,2790,404,4295,1,0,737,0,2512,2360,2870,2750,15545,1115,3,0,0,0,0,0,0,24632,0,0,0,0,1056,199,14
21,2539,0,0,0,0,0,0,10263,0,0,279,19,0,0,0,0,0,0,0,0,0,0,143,7443,16746,0,0,0
22,37586,0,0,0,0,0,0,13532,421,941,621,2104,0,7,0,0,0,0,0,0,0,0,213513,38,5407,243,0,0
23,4554,0,0,0,0,0,0,1619,0,5,0,11,0,0,0,0,0,0,37,0,0,0,9,10217,8999,0,0,0
24,173434,0,10,0,0,78,0,12841,0,762,58,3479,65,0,0,0,0,0,0,0,0,0,4929,2312,651420,4249,2,0
25,73385,3050,19955,561,30,16727,295,2365,746,2760,18066,9705,721,384,0,243,0,0,0,101,189,0,509,0,690,373271,133,0
26,27191,9623,16036,185,0,28395,89,1657,110,848,42003,10019,0,132,0,0,0,850,74,0,0,0,0,0,0,2283,79661,0
27,4566,0,0,0,0,0,0,0,0,15,0,28,0,1958,0,0,994,0,0,0,0,0,0,0,0,0,0,80837
