,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,2252760,728,3144,16,6,1191,13,4168,280,454,1669,7913,118,0,26,122,14,0,0,0,10,0,279,0,2137,508,40,95
1,1433,4202,2561,46,66,1377,291,218,33,22,221,607,44,0,0,0,0,0,0,0,2,0,0,0,0,59,24,0
2,6537,1734,31083,1220,0,1978,43,752,243,297,282,7674,127,0,0,16,0,0,0,0,5,0,0,0,0,147,26,0
3,387,18,2905,31,31,211,0,110,0,3,153,198,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0
4,638,268,187,183,2,239,0,26,0,0,103,148,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
5,4992,1997,3112,662,0,19520,0,700,18,82,1502,1549,65,0,0,0,0,0,0,0,0,0,0,0,0,248,3,0
6,503,482,737,0,0,344,26,16,0,1,100,294,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7,3539,43,389,1,0,211,0,34962,13,647,485,1332,12,0,0,0,0,0,0,0,27,0,167,0,325,194,0,0
8,719,20,249,0,0,34,0,720,3636,454,24,609,0,0,0,0,0,0,0,0,3,0,0,0,3,18,0,0
9,2711,0,259,0,0,98,0,2274,743,12140,79,6109,0,0,0,0,0,0,0,0,15,0,11,0,12,112,0,0
10,3908,650,911,0,6,3967,0,1046,79,183,11584,3879,0,0,0,0,0,0,0,0,0,0,5,0,2,317,67,0
11,9762,239,4163,0,125,764,0,1871,378,3665,3014,116665,858,0,0,0,14,0,0,0,22,0,17,0,53,205,15,0
12,515,129,567,0,0,175,0,995,250,10,436,2016,585,0,0,0,0,0,0,0,0,0,0,0,20,3,1,0
13,139,0,57,0,0,198,0,7,0,0,619,180,0,0,0,1,0,0,0,0,0,0,2,0,0,0,17,0
14,713,0,3,0,0,1,0,0,2,2,0,1,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1389,0,362,0,0,3,0,36,0,0,0,2,0,0,0,249,0,0,0,0,0,0,0,0,0,23,0,0
16,1206,0,3,0,0,0,0,0,0,0,0,161,0,0,1,17,59,0,0,0,0,0,0,0,0,0,0,0
17,3,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
18,175,0,8,0,0,28,0,10,0,3,52,56,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
19,136,0,5,0,0,2,0,2,0,1,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,183,6,68,0,0,15,1,93,16,37,4,445,0,0,0,0,0,0,0,0,69,0,0,0,0,5,0,0
21,104,0,1,0,0,1,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,94,0,0,0
22,1552,0,0,0,0,0,0,1206,1,16,37,41,0,0,0,0,0,0,0,0,0,0,1206,0,205,6,0,0
23,137,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,191,0,0,0
24,4627,0,0,0,0,9,0,740,0,8,17,158,1,0,0,0,0,0,0,0,0,0,98,0,7605,19,0,0
25,2895,7,242,0,0,454,0,301,129,190,370,1296,0,0,0,0,0,0,0,0,2,0,9,0,27,2228,7,0
26,1340,239,212,0,0,522,0,125,0,47,345,415,0,0,0,0,0,0,0,0,0,0,0,0,0,96,117,0
27,649,0,9,0,0,0,0,2,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677
