,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,9020699,613,8140,714,384,2931,19,12767,696,1805,9203,27184,397,0,204,725,95,0,5,8,26,0,1824,0,9194,2363,146,88
1,3667,15053,10622,269,1624,8824,421,841,49,128,1690,1371,45,0,0,0,0,2,0,0,10,0,0,0,37,117,145,0
2,19014,1010,125729,10161,637,8603,628,1879,318,1361,2257,35993,810,0,0,12,0,0,2,0,23,0,0,0,3,281,137,0
3,604,0,5365,4356,10,212,0,256,1,31,617,4638,118,0,0,0,0,0,0,0,0,0,0,0,0,26,77,0
4,1783,20,657,57,1197,119,0,49,0,0,2632,547,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0
5,10918,4265,13895,1249,3444,71322,0,1879,64,329,23202,4843,1063,0,0,0,0,0,0,0,10,0,0,0,19,1108,80,0
6,1405,893,2133,14,380,2312,235,57,0,24,1312,1038,4,0,0,0,0,0,0,0,6,0,0,0,0,3,155,0
7,8457,87,1223,37,1,713,0,140784,0,1928,2603,8278,3501,0,0,0,0,0,0,0,67,0,1309,0,1175,329,0,0
8,1900,43,551,1,7,92,0,3159,14266,2481,71,3039,225,0,0,0,0,0,0,0,17,0,8,0,89,64,0,0
9,5104,3,1029,0,4,177,0,7361,1467,43946,1703,37335,101,0,0,0,0,0,0,0,28,0,149,0,66,245,0,0
10,7939,77,1683,176,3450,9272,0,1430,47,797,70777,9406,532,0,0,24,0,0,0,0,2,0,25,0,39,531,39,0
11,25935,234,9712,2004,145,1097,0,3936,304,7071,20748,492200,3208,0,0,1,42,0,0,0,41,0,60,0,486,897,7,0
12,1643,1,3159,0,0,342,0,3346,902,54,2696,9256,1358,0,0,0,0,0,0,0,4,0,3,0,61,34,0,0
13,261,2,151,0,10,604,0,69,0,0,3487,320,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0
14,1921,0,8,0,0,0,0,1,0,0,0,27,0,0,1335,28,0,0,0,0,0,0,0,0,0,9,0,0
15,3864,0,1109,0,0,2,0,151,0,0,50,0,0,0,1,3142,0,0,0,0,0,0,0,0,0,74,0,0
16,3594,0,13,0,0,0,0,0,0,0,0,1596,0,0,6,313,257,0,0,0,0,0,0,0,0,0,0,0
17,9,27,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0
18,541,0,94,0,0,23,0,20,0,43,318,242,0,0,0,0,0,0,39,0,0,0,0,0,0,16,0,0
19,493,0,171,24,0,15,0,0,1,4,2,55,0,0,1,0,0,0,0,8,0,0,0,0,12,0,0,0
20,431,18,310,16,0,98,0,292,58,211,292,1836,1,0,0,0,0,0,0,0,236,0,0,0,0,13,0,0
21,312,0,0,0,0,0,0,871,0,0,7,2,0,0,0,0,0,0,0,0,0,0,147,0,984,0,0,0
22,3091,0,1,0,0,0,0,4802,3,30,181,177,0,0,0,0,0,0,0,0,0,0,7997,0,799,13,0,0
23,337,0,0,0,0,9,0,122,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,15,1035,67,0,0
24,13049,0,1,0,0,2,0,2272,0,14,12,613,8,0,0,0,0,0,0,0,0,0,350,0,36399,420,0,0
25,7928,0,1113,28,6,1986,0,622,89,905,2814,3810,0,0,0,0,0,0,3,0,1,0,3,0,110,13285,5,0
26,3152,120,1536,0,10,778,0,222,0,276,5297,1189,0,0,0,0,6,0,0,0,10,0,0,0,0,401,691,0
27,2646,0,21,0,0,0,0,0,0,0,0,55,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,2759
