,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,144389836,28299,136523,7534,7161,62558,3274,112430,20680,42535,100537,330931,11287,2309,14917,10488,14004,426,3837,2673,3211,0,37400,605,145671,51882,7481,24754
1,23987,503031,97220,49,137,53332,2800,8873,1560,281,9502,4894,5695,0,0,0,0,471,0,22,881,0,0,0,0,1832,3399,0
2,150160,79000,2635968,83413,2931,54427,2407,19448,6502,8442,16575,241311,21230,0,21,23,608,135,511,59,5583,0,3302,0,0,6773,4888,821
3,6071,1818,16441,179462,791,10240,0,684,0,25,3332,41108,50,0,0,0,0,0,0,0,0,0,23,0,0,1237,11,0
4,14250,1423,5941,2987,38853,15115,589,527,17,13,15778,17627,0,0,0,0,0,0,1563,0,0,0,0,0,30,1300,11,0
5,82028,83782,82886,0,13936,1636555,1473,8153,357,1496,222671,45277,8807,0,0,159,66,0,264,8,606,0,60,0,300,11283,3719,0
6,10595,14349,37671,0,3057,29390,31082,183,0,43,16052,5239,10759,0,0,0,0,1,0,0,2,0,0,0,0,1170,255,0
7,119862,7296,19585,706,41,7263,352,2335905,1477,53308,12997,44904,71682,0,0,20,0,0,43,9,3291,0,32675,99,13655,6178,178,0
8,14730,1560,8671,121,3,948,0,31137,329230,8772,714,10041,7402,0,0,0,0,0,0,25,379,0,1253,0,42,1259,0,0
9,48054,1587,8595,524,0,4309,291,64940,48689,1043741,8037,336192,4208,0,0,0,0,0,92,38,2113,0,4936,0,920,4104,5,0
10,66770,17360,17520,3498,67111,119592,10767,7560,1199,3789,1302547,65344,215,0,0,2,0,0,1043,290,512,0,1095,0,1469,12214,1725,0
11,253658,29307,171630,1375,3769,13495,0,20370,17074,166574,114108,8144830,137748,3,0,0,3364,2,447,0,2304,0,3501,0,2039,11146,1952,4048
12,17643,11448,32581,0,0,41,3,31147,16873,8478,1790,124960,119945,0,0,0,0,0,250,0,218,0,0,0,178,347,179,0
13,3949,12,144,0,322,1717,0,442,0,8,36026,10781,0,17585,0,0,243,0,786,0,0,0,57,0,0,0,6462,0
14,11072,0,157,0,0,0,0,0,253,58,0,68,0,0,41306,0,49,0,0,0,0,0,0,0,0,180,0,0
15,22349,0,75,0,0,31,0,1895,0,0,197,0,0,0,2,104068,3594,0,0,0,0,0,0,0,11,2413,0,0
16,44726,0,2129,0,0,0,0,0,0,0,0,10968,0,0,13,170,34378,0,0,0,0,0,0,0,0,0,0,0
17,12,429,0,0,0,5,155,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0
18,5490,0,2023,0,0,696,0,149,0,109,2319,1615,863,0,0,0,0,0,7496,0,0,0,0,0,684,214,0,0
19,8313,44,740,7,0,287,11,31,27,83,50,278,0,0,0,0,0,0,0,1778,805,0,0,0,0,126,0,0
20,2360,446,5902,0,0,855,0,4631,3330,2681,2320,17192,797,0,0,0,0,0,0,0,18867,0,0,0,0,934,0,968
21,2607,0,470,0,0,0,0,12486,0,0,211,6,0,0,0,0,0,0,0,0,0,0,1703,3997,15952,0,0,0
22,37351,0,0,0,0,0,0,10057,320,556,1796,6743,308,0,0,0,0,0,0,0,0,0,212078,0,4767,437,0,0
23,5131,0,370,0,0,177,0,1276,0,0,0,196,0,0,0,0,0,0,0,0,0,0,169,5329,12803,0,0,0
24,132074,0,33,0,0,47,0,15318,0,614,56,6342,156,0,0,0,0,0,0,0,0,0,7041,1761,689256,941,0,0
25,49879,1000,14039,798,0,13335,80,3745,905,3167,29199,18770,26,0,0,3292,0,0,0,0,126,0,627,0,1621,383096,181,0
26,19197,23902,9561,37,0,27657,220,2202,79,91,27519,33978,0,0,12,0,40,152,820,0,1851,0,0,0,0,1445,70393,0
27,1721,0,0,0,0,46,0,0,0,0,0,22,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,86526
