,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,2240580,454,3429,175,0,3303,0,6292,290,1877,2115,16975,90,0,0,2,0,0,0,0,0,0,66,0,43,0,0,0
1,5595,2075,1340,0,0,1526,0,196,74,59,121,212,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,26536,316,15119,316,0,3407,0,623,352,726,442,4255,71,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1687,1,1299,127,0,123,0,114,0,13,193,522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1078,0,112,0,0,413,0,41,0,0,63,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17272,726,1849,899,0,10978,0,375,28,321,661,1334,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1377,249,210,0,0,313,0,7,0,25,100,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,19325,48,346,0,0,332,0,19870,1,1107,282,880,92,0,0,0,0,0,0,0,0,0,55,0,9,0,0,0
8,3966,2,79,0,0,42,0,239,1368,481,25,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9861,16,181,0,0,103,0,1192,101,7893,218,4991,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
10,12354,167,310,8,0,3313,0,829,0,202,7639,1782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,54877,14,1721,8,0,532,0,1091,171,1892,2768,78234,513,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
12,2632,7,444,0,0,332,0,663,38,258,471,705,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,544,0,1,0,0,92,0,11,0,0,392,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,844,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1893,0,168,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
16,1224,0,11,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,8,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,276,0,2,0,0,7,0,2,0,0,39,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,136,0,2,0,0,1,0,6,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,359,24,74,0,0,26,0,106,22,33,6,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,432,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
22,3341,0,0,0,0,7,0,558,0,4,21,54,0,0,0,0,0,0,0,0,0,0,262,0,23,0,0,0
23,393,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,12952,0,0,0,0,5,0,195,0,0,0,50,0,0,0,0,0,0,0,0,0,0,33,0,47,0,0,0
25,6435,0,177,0,0,285,0,193,0,209,203,650,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0
26,2001,31,44,0,0,470,0,128,6,27,474,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1345,0,0,0,0,0,0,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
