mae,mse,perceptual_l2,perceptual_l1,loss
0.23575365734992695,0.06419945326624814,0.0066547010437140305,0.026774440786574257,0.06419945326624814
0.14471826449236805,0.024241848543086118,0.00447231050064133,0.0192563146381369,0.024241848543086118
0.09886662293075371,0.011840097195041614,0.0038532868797234803,0.016387288492609123,0.011840097195041614
0.07308626912834548,0.006983600783871483,0.00354493045401822,0.014933472738785387,0.006983600783871483
0.05697014196391527,0.004715522776684954,0.003342262660501786,0.014094990315255414,0.004715522776684954
0.045999585910058524,0.003513307323600675,0.00320333305204684,0.013394499167213627,0.003513307323600675
0.03811888022780876,0.002794500102062,0.0030442412335768827,0.012697276900631452,0.002794500102062
0.03234425225007328,0.0023550485075771407,0.002921106599471505,0.012228552570241198,0.0023550485075771407
0.027910485845809935,0.002060443083818237,0.002812550657012298,0.011844553375141178,0.002060443083818237
0.02428371907567566,0.001843358461535938,0.0027102590694973484,0.01149779680093854,0.001843358461535938
0.022241407862351403,0.001812900288518511,0.0027348597099622015,0.011493318497905804,0.001812900288518511
0.019084405854716182,0.0015869141905345094,0.002570149433332533,0.010955026973889793,0.0015869141905345094
