run_id,video_id,mae,mse,perceptual_l2,perceptual_l1,loss
29,1,0.00937880308367312,0.0011827542386405791,2.4760628105771804e-05,0.000984211217922469,0.0011827542386405791
29,2,0.00841224847206225,0.001022124538430944,1.964548847960638e-05,0.0007799369023026278,0.001022124538430944
29,3,0.008958938377909363,0.0011111647905393813,2.320060850555213e-05,0.0008709897962398827,0.0011111647905393813
29,4,0.008677429353507857,0.0010346338083036244,2.066279725416583e-05,0.0008330687653506175,0.0010346338083036244
29,5,0.009146709205316645,0.0012324829469434917,2.2900984206769083e-05,0.0009208351559937,0.0012324829469434917
29,6,0.00978238457813859,0.001582625622395426,3.043983265039666e-05,0.0010740003507817165,0.001582625622395426
29,7,0.010305668382594982,0.0013397719742109378,2.929129672944934e-05,0.0011521103551300864,0.0013397719742109378
29,8,0.008171558665732543,0.0008417153175105341,1.6615456311228626e-05,0.0007337301029474475,0.0008417153175105341
29,9,0.00982373621314764,0.0012714813698160772,2.5837310017777783e-05,0.000979464774330457,0.0012714813698160772
29,11,0.00907994323099653,0.0014795180935955918,2.5799034598700625e-05,0.0009383743124393126,0.0014795180935955918
29,12,0.008388338661561273,0.0011187380080889553,2.2397088312024844e-05,0.0008360643628729533,0.0011187380080889553
29,14,0.009491055303563674,0.0015083806201194724,2.7499596114163676e-05,0.000982908124375778,0.0015083806201194724
29,15,0.009786271555349231,0.0012381060504897809,2.6082025930615296e-05,0.001039985913860922,0.0012381060504897809
29,16,0.008377426539858183,0.0009905784889512384,1.9705588480671093e-05,0.0008283678422837207,0.0009905784889512384
29,17,0.010569403090824684,0.0011137950175907462,2.3286231165305556e-05,0.0009812009060988203,0.0011137950175907462
29,18,0.008170340086023013,0.0011299390297305459,2.3857974738348276e-05,0.0008633616760683557,0.0011299390297305459
29,19,0.009369198425162224,0.0013208282694611097,2.4159991704847572e-05,0.0008841821060125385,0.0013208282694611097
29,20,0.009870471423491836,0.0011845993002255757,2.369847338741238e-05,0.0009715078416047618,0.0011845993002255757
29,21,0.00831450561992824,0.0012672594042184451,2.1345754776120883e-05,0.0007861141247364382,0.0012672594042184451
29,23,0.009820128579934438,0.0012464791452900196,2.2650132068520177e-05,0.0008799404163922494,0.0012464791452900196
29,24,0.009028606743862232,0.0011418353486806155,2.3820875115537394e-05,0.000933300942221346,0.0011418353486806155
29,27,0.009592629227863282,0.0011672868668957024,2.4536560366479015e-05,0.0009521412264023508,0.0011672868668957024
29,28,0.00907612660434097,0.0009570970739393185,1.867049156013915e-05,0.0008191058551892638,0.0009570970739393185
29,29,0.009585149842314422,0.0014429962557430068,3.0118892555037745e-05,0.0010364591524315377,0.0014429962557430068
29,30,0.009994770800694823,0.0014055435464251787,2.9103517711822254e-05,0.0010437922790879383,0.0014055435464251787
29,31,0.010023383712396026,0.0014357696902394916,2.9686618624206555e-05,0.0010815036124161754,0.0014357696902394916
29,33,0.009652058539601664,0.0014874596298128987,2.8625912291317947e-05,0.0009659247639744232,0.0014874596298128987
29,34,0.008678182747892359,0.0012128530572888187,2.3135543652973535e-05,0.0008995940562189472,0.0012128530572888187
29,35,0.008542115114008387,0.0010511569444012518,2.0497469286056003e-05,0.0008392031827437071,0.0010511569444012518
29,36,0.010679394903903206,0.001821841214162608,4.144268014594369e-05,0.0012444863330650453,0.001821841214162608
29,37,0.008918904722668231,0.001199672082439065,2.283063500120382e-05,0.0008830578409833833,0.001199672082439065
29,38,0.009222488643911978,0.001471987705444917,2.815855089162748e-05,0.000992258761737806,0.001471987705444917
