mae,mse,perceptual_l2,perceptual_l1,loss
0.20653759589465245,0.049908249826669235,0.008627774565696945,0.027319534254508834,0.049908249826669235
0.11474015517964702,0.016335071009117217,0.0072351681209757435,0.022238638069688014,0.016335071009117217
0.07780770190961073,0.008768402502090883,0.006102404892337356,0.0195479013433326,0.008768402502090883
0.057443439595816,0.0056166557234045185,0.004933507096794597,0.017209189237880156,0.0056166557234045185
0.04474936206172615,0.004090751904722539,0.0042658215915988024,0.01568160331030439,0.004090751904722539
0.03650600250788934,0.003271235173189165,0.003869439998101765,0.014534577042679526,0.003271235173189165
0.030841487229242206,0.002807580215691977,0.0036246483375080604,0.0137757121240309,0.002807580215691977
0.02658726833403225,0.0025032693640849126,0.0034614253276154658,0.013246182228962313,0.0025032693640849126
0.023492167691294384,0.002333613137147906,0.0033524087527427187,0.012869191286288158,0.002333613137147906
0.020781215248118205,0.0021541878391564922,0.0032301675166305503,0.012455757946891428,0.0021541878391564922
0.01874359392502029,0.002051381420857146,0.0031514359555866807,0.012195960269979917,0.002051381420857146
0.01710594809236945,0.0019801103392876897,0.0030921163098196606,0.011965597588247164,0.0019801103392876897
