mae,mse,perceptual_l2,perceptual_l1,loss
0.18828940254255358,0.0433119429103787,0.0043803019692223956,0.01453611607557867,0.02173007259434965
0.08990084399932177,0.01031020352877891,0.003321668752978579,0.010822515092761525,0.01069443707216724
0.060006401274574926,0.0052852737091681895,0.0029645232817125926,0.009631330016893183,0.008544815894602414
0.04540124705737017,0.003780419179890841,0.0028089737602743727,0.00908122577073478,0.007756024097662684
0.04570407009971348,0.005464014491770638,0.0035598109750659876,0.010693021721051087,0.009385769793517072
0.03893548260923768,0.004788324718619205,0.003299473620854647,0.010073185821498196,0.00875197049148109
0.03309123972055436,0.004032173749030837,0.003108172346310486,0.00957606857259992,0.008190094839223802
0.027944381525757903,0.003334719958069829,0.002965051927487589,0.009204861602518929,0.007737326146158856
0.023455113869682385,0.002715938076584273,0.002812450391914331,0.00882506950967543,0.007297786613193389
0.019952263111059132,0.0023257853034275963,0.0026745900141715204,0.008454313337259467,0.006922181297072179
0.01721293877474177,0.0020831903744839317,0.00256158515718013,0.00814427502342498,0.006629003824097696
0.019098059692546982,0.0027587810757385848,0.002753297429649792,0.008673034474296556,0.007194471095944263
