epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.951,1.08071,2.19016,2.42699,1.12158,0.51199,0.29092,0.24258,0.1693,0.50341,0.28726,0.23509,0.14701,1.03438,2.01984,1.56325,1.04646,0.000104297,0.000104297,0.000104297
2,505.771,0.95398,1.89431,1.61805,1.04679,0.53487,0.29749,0.29706,0.20658,0.52301,0.2902,0.28646,0.17928,1.02644,1.97538,1.40137,1.03127,0.000182812,0.000182812,0.000182812
3,741.252,0.92975,1.83665,1.48335,1.03523,0.5564,0.33597,0.31928,0.22241,0.55027,0.33421,0.30687,0.19571,0.98642,1.88528,1.30504,1.01459,0.000235505,0.000235505,0.000235505
4,975.732,0.90322,1.79001,1.395,1.02395,0.51816,0.34621,0.34151,0.2407,0.51034,0.33746,0.33114,0.21242,0.96472,1.83682,1.24016,1.00242,0.000196799,0.000196799,0.000196799
5,1209.28,0.87939,1.74499,1.33097,1.01271,0.51704,0.35795,0.35977,0.2567,0.50185,0.35244,0.34829,0.22124,0.93793,1.79137,1.20546,0.98773,0.000158065,0.000158065,0.000158065
6,1442.29,0.85584,1.70433,1.2819,1.00397,0.60018,0.34841,0.3783,0.26933,0.58783,0.34112,0.36725,0.23357,0.92566,1.76821,1.16116,0.98571,0.000119331,0.000119331,0.000119331
7,1673.56,0.83804,1.67382,1.24264,0.9958,0.52955,0.39248,0.37849,0.27354,0.51848,0.38507,0.36575,0.23672,0.90603,1.73559,1.1404,0.97497,8.05975e-05,8.05975e-05,8.05975e-05
8,1911.07,0.82496,1.64611,1.21239,0.99052,0.519,0.39096,0.38844,0.28122,0.50612,0.38148,0.37544,0.24243,0.8953,1.71097,1.11939,0.97116,4.18638e-05,4.18638e-05,4.18638e-05
