train_loss,train_acc,train_f1,train_map,train_subset_acc,test_loss,test_acc,test_f1,test_map,test_subset_acc
0.16835791,0.87428164,0.5021855,0.6862351,0.3423136,0.21739269963631006,0.8474025782023635,0.45222399453414935,0.6489387208891806,0.3171728971962617
0.12081686,0.9371206,0.64248765,0.8067056,0.4750029,0.16488362028846673,0.8846380039353237,0.5848290549817486,0.7411946155757547,0.4126752336448598
0.1058391,0.9535269,0.69366425,0.8459988,0.52390224,0.23106053290523101,0.8516178587886775,0.4238506994236296,0.6170502005614967,0.27190420560747663
0.09341954,0.9639462,0.7323353,0.8726357,0.56308067,0.13193726664948685,0.9300449398633476,0.6514774962006328,0.7989846830056092,0.4742990654205608
0.08262573,0.97159624,0.768973,0.89615893,0.6068308,0.16937209096537015,0.8968298195678497,0.6168042777854705,0.7604387792471413,0.446553738317757
0.074857324,0.97609663,0.789437,0.9152666,0.6330521,0.17084348497685986,0.9010462669011589,0.5646599012418329,0.7365077463822944,0.39223130841121495
0.06492047,0.98243374,0.8186083,0.93336296,0.6718681,0.205222981485808,0.8782106529329424,0.603054224191425,0.7560627312860756,0.4439252336448598
0.059738543,0.9841413,0.840673,0.9413524,0.70272094,0.15335458960975998,0.9150102692786778,0.6543608456850052,0.798597106588221,0.47867990654205606
0.052323457,0.9887159,0.8563973,0.9510741,0.72407234,0.18174314523272425,0.896877454541554,0.6094543170706134,0.7581154212494877,0.3907710280373832
0.048284143,0.98984724,0.86747193,0.9592261,0.73854667,0.18801617382146488,0.9051646815839215,0.6197282836258968,0.7808222598004564,0.3820093457943925
0.044869196,0.9903324,0.8807775,0.9637061,0.76360726,0.20308775458241177,0.8871997193755391,0.652281754763327,0.78569083486762,0.4713785046728972
0.036768712,0.99405247,0.89999545,0.97485244,0.79096794,0.1787054596695109,0.8993708157093725,0.6376274021986489,0.783594252071648,0.4459696261682243
