train_loss,train_acc,train_f1,train_map,train_subset_acc,test_loss,test_acc,test_f1,test_map,test_subset_acc
0.14124759,0.91755795,0.61363643,0.7857671,0.4360801,1.0388091189839015,0.5697863519748795,0.05434938422708868,0.5611972159871431,0.02891355140186916
0.1026481,0.9559966,0.7188862,0.8702515,0.553708,0.511828068539361,0.7380380279549928,0.44929922253729027,0.6567309885938591,0.2859228971962617
0.08381315,0.97086734,0.7739009,0.9044616,0.6153342,0.5655468184257222,0.7010233530374331,0.2252943699604997,0.5370299518108368,0.14865654205607476
0.07499706,0.97703975,0.79798543,0.9229182,0.6422857,0.6915214632716135,0.6048572386536643,0.09890113180834,0.393941772318332,0.0657126168224299
0.06972019,0.97804224,0.8202458,0.9324814,0.6757863,0.5863627383363581,0.7260433045503135,0.4879221342434393,0.5915799121433329,0.3516355140186916
0.06240052,0.98307216,0.8402141,0.9435586,0.702946,0.41017372084555226,0.7390837045473473,0.190488279927696,0.48641034877188855,0.1276285046728972
0.054906458,0.98596245,0.8536989,0.95051974,0.7197654,0.25602288585956967,0.7794812923279878,0.17674104103418153,0.49167281222120623,0.0911214953271028
0.047568936,0.9892192,0.86934227,0.9571219,0.7407922,0.32629320359675684,0.8002649523387445,0.511862401093278,0.6461020981039957,0.31454439252336447
0.04381339,0.9909836,0.8821289,0.9668623,0.7598501,0.3389182197991933,0.8127902590225791,0.5557245425531797,0.6870811057982044,0.35367990654205606
0.03990614,0.99252915,0.89343363,0.9699234,0.78140616,0.29954100448951543,0.8133158706058966,0.4570913640695198,0.6408657420461423,0.3005257009345794
0.036704477,0.99304146,0.90293384,0.9758673,0.7930509,0.4449963993001207,0.7764774700191533,0.4096721104372328,0.590835023427678,0.2283878504672897
0.03723287,0.9921559,0.9059874,0.97470987,0.8038913,0.3972674785094841,0.7572422088863694,0.37681020601330517,0.5802873086149447,0.23072429906542055
