train_loss,train_acc,train_f1,train_map,train_subset_acc,test_loss,test_acc,test_f1,test_map,test_subset_acc
0.14173508,0.9170083,0.6168685,0.78166246,0.44451118,0.9643369122086284,0.5616943524262615,0.037009860380230665,0.6128695267383183,0.02161214953271028
0.10520022,0.95414513,0.72667915,0.87530434,0.5642365,0.8641614693904591,0.6717308113508136,0.2283957239205592,0.6388593619671937,0.11740654205607477
0.08654504,0.97032577,0.7719195,0.9047977,0.60365266,0.5704751449210621,0.7137779465345578,0.3400311918459206,0.6018171377271135,0.1933411214953271
0.07311323,0.97791654,0.7985956,0.9232083,0.6430901,0.7967131533355356,0.5470197532221536,0.03338455356587874,0.3893327309149448,0.020151869158878503
0.07174595,0.9757015,0.8168716,0.9329072,0.6720254,0.49430096817907887,0.6907692930408728,0.1739166087218534,0.4576849647771532,0.09725467289719626
0.060355194,0.983324,0.8350142,0.9432601,0.6981106,0.5347049470259765,0.6484713270285419,0.12634189583570044,0.42777181535123665,0.0879088785046729
0.056837857,0.982619,0.85218126,0.9500078,0.72204727,0.41628447954899794,0.6831935594015033,0.15037062910394133,0.4597535294907115,0.08294392523364486
0.048764102,0.9874717,0.86788803,0.9554509,0.74231726,0.35283036140080926,0.7660205319663075,0.37440657434619473,0.6025829741330905,0.2514602803738318
0.045467712,0.99039125,0.8776902,0.9647023,0.75759,0.3568618697262256,0.77701709816389,0.36232193468887114,0.531710960319109,0.18516355140186916
0.041564617,0.9907799,0.8927244,0.96834403,0.7782559,0.36250862702031,0.781618651942672,0.3976631299636074,0.6315736411330856,0.25613317757009346
0.038418774,0.9917959,0.90402013,0.9751001,0.7959146,0.4024699642279438,0.6987850705039835,0.22222808630109947,0.46225700116603174,0.12938084112149534
0.036474906,0.9913067,0.90640926,0.9707263,0.8090315,0.4131953345837994,0.6947354696621405,0.25863445633761234,0.4897317889137803,0.16004672897196262
