train_loss,train_acc,train_f1,train_map,train_subset_acc,test_loss,test_acc,test_f1,test_map,test_subset_acc
2.5908482,0.92449707,0.6623097,0.82078195,0.4948469,2.0516483165393367,0.9423783928434425,0.7753076458645758,0.9125423013606918,0.6156542056074766
1.1520658,0.98439723,0.8369668,0.9484148,0.69483626,2.5561241212292254,0.9264649052486241,0.7836221963445716,0.9067885201668071,0.6270443925233645
0.7109648,0.9939142,0.9007831,0.97730863,0.79192364,2.9422883887157263,0.9146509783290256,0.7841266137417232,0.8994205521645947,0.6302570093457944
0.47732234,0.99633306,0.9343121,0.9897708,0.8516234,3.486282129154027,0.9050258063824377,0.778121722078769,0.9029244290334042,0.6095210280373832
0.35732803,0.99695927,0.9524677,0.9936475,0.8898729,3.5390286512464004,0.9030659900647457,0.7775681626016848,0.8962644271761457,0.6194509345794392
0.31218207,0.9971922,0.9613081,0.99420685,0.90376997,3.95336849555791,0.8941838100691822,0.7632962832941073,0.8900091130042744,0.5987149532710281
0.28086603,0.99727833,0.96919066,0.99560696,0.92405224,3.9181027668658817,0.9056103903556538,0.7731495761425695,0.896937092888021,0.59375
0.26805648,0.99692583,0.97006005,0.9944184,0.9288773,4.799614160695922,0.8936775014779278,0.7779284464978726,0.8960124064828748,0.6112733644859814
0.22686094,0.9978147,0.9742288,0.99704456,0.9360603,4.0578566388549095,0.9052051500739339,0.7797937521310611,0.8982539277210414,0.6063084112149533
0.20390718,0.99799085,0.9764595,0.99701047,0.94228923,4.76276048878643,0.892532272316585,0.7728251018256784,0.892220987337772,0.6025116822429907
0.20376459,0.9982773,0.97705305,0.9953773,0.94313955,4.907408540493974,0.8910306680982358,0.7735605256579746,0.8905063834145804,0.6066004672897196
0.18243504,0.9981313,0.9801858,0.9971098,0.9506062,4.194011621386092,0.9043248546457736,0.7771829801185108,0.8913528863514695,0.6039719626168224
