train_loss,train_acc,train_f1,train_map,train_subset_acc,test_loss,test_acc,test_f1,test_map,test_subset_acc
0.16744171,0.8882279,0.5497468,0.7280294,0.37827826,0.2157338559627533,0.7870898982074773,0.14136168190112738,0.46960509770384457,0.07885514018691589
0.09469905,0.9642249,0.7228836,0.86591935,0.5486172,0.1607869093384698,0.9127596850707153,0.5342987773017348,0.731132222670261,0.36507009345794394
0.07340328,0.9790336,0.7903562,0.9168015,0.62511986,0.14395203044481367,0.9312195738899374,0.6482035765581042,0.8010707224640891,0.44363317757009346
0.057118278,0.98736316,0.8387951,0.9463064,0.6853631,0.13649885662805253,0.9293147698741093,0.6639343330236239,0.8182071469654547,0.48860981308411217
0.047217257,0.99127746,0.867411,0.95884484,0.7337879,0.1824737924420945,0.8922438721790492,0.6174602987610291,0.7639228996829451,0.43954439252336447
0.03850177,0.9939003,0.89355594,0.9718744,0.7790478,0.15920663868712487,0.9170028077107724,0.657081498999462,0.8017181369745843,0.4576518691588785
0.031331804,0.9955871,0.9121526,0.9789184,0.8096264,0.19716476777864395,0.8882740619026612,0.6470202469380102,0.7922784056618949,0.46261682242990654
0.02482416,0.9967218,0.9348045,0.9868829,0.8516234,0.19171647824973703,0.8926988193921954,0.6800919840826052,0.8228192290413046,0.495035046728972
0.020698804,0.9973609,0.9482137,0.9888938,0.8809624,0.22121734697824327,0.8653701521525873,0.6168866410990742,0.7697797378646993,0.4290303738317757
0.016649885,0.9973052,0.9582386,0.9920401,0.90242964,0.23550278498469113,0.869582101563427,0.6573990602916646,0.8090838533695613,0.4810163551401869
0.014545389,0.9976792,0.96422434,0.99249846,0.91842616,0.18258260479458024,0.9009914253359643,0.6835790101055786,0.8273766915374827,0.4830607476635514
0.011486701,0.9984193,0.9718013,0.99481136,0.93320966,0.24174369210116217,0.8805713402890714,0.6842398373323066,0.821531189379291,0.49649532710280375
