train_loss,train_acc,train_f1,train_map,train_subset_acc,test_loss,test_acc,test_f1,test_map,test_subset_acc
0.2044537,0.8469452,0.50734204,0.6865572,0.3500639,0.0897315618730037,0.9653618608679727,0.749761505104671,0.9038410693685585,0.5823598130841121
0.07963938,0.9754053,0.77022403,0.9162351,0.6100587,0.08180836962414122,0.969806112418665,0.7873558390920408,0.917144455085291,0.6136098130841121
0.058944523,0.9878772,0.8359354,0.9522203,0.6924962,0.0822438784639969,0.9684462564013828,0.7886108566667432,0.9184079849831411,0.6176985981308412
0.04384258,0.99380356,0.8808299,0.9718971,0.75460696,0.08746710078460034,0.9608979793352501,0.7965138192488769,0.9248083088999597,0.6308411214953271
0.031001497,0.99720013,0.9165358,0.986181,0.81746083,0.09260484868677978,0.956950611600252,0.7925699882418196,0.919106098536019,0.6191588785046729
0.024497183,0.9977357,0.9371398,0.99066246,0.85425323,0.09581876229320731,0.9568918224807098,0.7930231088789824,0.9204329140832491,0.6106892523364486
0.019272452,0.998753,0.9514183,0.9940491,0.8841795,0.10282654263009534,0.9486297914914996,0.788164332648304,0.9173510030051258,0.6162383177570093
0.016237713,0.9982336,0.9621745,0.99571294,0.9092994,0.1087513131167844,0.9443836473972997,0.7880444359556537,0.9149960212618391,0.6092289719626168
0.013948767,0.9992189,0.96500385,0.9963061,0.916956,0.11092186562508066,0.9467043547986824,0.7935969679155083,0.9165683394280549,0.6106892523364486
0.011350534,0.99902874,0.97376806,0.9963137,0.9356122,0.11616424394545154,0.9382488671864304,0.7906205899247499,0.9119423962085047,0.6115654205607477
0.009084935,0.9997626,0.9774136,0.99805254,0.94354194,0.11682498775352941,0.938209620591636,0.7973469239529049,0.9164833855406146,0.6214953271028038
0.008346347,0.99969363,0.97912335,0.99868256,0.947974,0.11871565171630583,0.9388265258797975,0.797345818760239,0.9168594290162916,0.6197429906542056
