train_loss,train_acc,train_f1,train_map,train_subset_acc,test_loss,test_acc,test_f1,test_map,test_subset_acc
0.15839016,0.89572525,0.58320165,0.7621974,0.419547,0.0845757057872888,0.9683184350762412,0.7755542347364337,0.9110281595559878,0.6039719626168224
0.066154316,0.98356795,0.81426483,0.9380046,0.6635253,0.08414096301682641,0.9687458209902327,0.7846904575267685,0.9138793132015478,0.6188668224299065
0.043497153,0.9935335,0.881355,0.9698975,0.76380116,0.08680556622272897,0.9623232584133327,0.802879594196783,0.9241049239568622,0.6346378504672897
0.029120708,0.9959331,0.9275453,0.98636943,0.83985764,0.09543883626427606,0.954953279450675,0.7976287815058343,0.9168924126669625,0.6314252336448598
0.01877378,0.99883085,0.9531092,0.9937953,0.8915839,0.09974332301764288,0.9536363683014273,0.7995821103871426,0.9217265393132361,0.6302570093457944
0.013594239,0.99892277,0.9674761,0.9961851,0.922569,0.1105827687168929,0.943728651955863,0.7992290419952892,0.9176177092801745,0.6282126168224299
0.010994728,0.999146,0.9756612,0.99666363,0.93950593,0.11290279497331548,0.9447609815642098,0.7964957167055006,0.9134858239476926,0.616822429906542
0.008530636,0.9994533,0.98039967,0.9977397,0.9515007,0.12586620561430387,0.9348758453520659,0.7906923438901099,0.9116684521470114,0.6179906542056075
0.0069132014,0.9994442,0.9858887,0.99820346,0.96517193,0.12364786624838815,0.9374940490054193,0.7970246940015633,0.9124985114436284,0.6200350467289719
0.005659561,0.9992993,0.988864,0.9985051,0.97336143,0.13034273833732737,0.9374918129956611,0.7899543615145104,0.9119165901825806,0.6115654205607477
0.0048963483,0.99971503,0.9906607,0.9989149,0.9774204,0.1344825842322033,0.9310898368603715,0.7964530130413091,0.9122245384153919,0.6226635514018691
0.004869092,0.99947226,0.99111575,0.9983185,0.97817254,0.1337231436970635,0.931404261945564,0.7985465387317622,0.91127894303509,0.6203271028037384
