train_loss,train_acc,train_f1,train_map,train_subset_acc,test_loss,test_acc,test_f1,test_map,test_subset_acc
0.17990737,0.84831995,0.49427205,0.68272626,0.33393773,0.12171849956579298,0.934608339706314,0.6586760427350196,0.819089271754862,0.4512266355140187
0.111858085,0.9465622,0.67516106,0.8401576,0.4774328,0.11722774455480486,0.9417929827609909,0.6587533157005488,0.8333208995444752,0.45151869158878505
0.10212688,0.95778805,0.7026516,0.8592653,0.5095247,0.11433742278925726,0.9446502857119123,0.6852605409711321,0.8388715464378071,0.47955607476635514
0.14798898,0.90991944,0.5832873,0.7625173,0.40987146,0.1616087136006801,0.9104602737961528,0.526690951853155,0.7153498201726753,0.3697429906542056
0.09786045,0.9608158,0.7169266,0.86360395,0.5537107,0.18339659148287552,0.8808907537816841,0.4755451007981167,0.6711731564218752,0.3183411214953271
0.08058256,0.97402185,0.76724225,0.9005046,0.60831535,0.16363520182181743,0.895779634190497,0.5137313389889547,0.7250372722884205,0.3411214953271028
0.068242215,0.9810896,0.8065563,0.926129,0.654682,0.1583385203625554,0.9110407127398197,0.6664150607920138,0.8087268861654763,0.49707943925233644
0.05751913,0.98645586,0.84074354,0.9458207,0.7008214,0.14559009027118994,0.9188076374686767,0.6560477995983908,0.8048202506849699,0.4725467289719626
0.049459543,0.9883419,0.8678255,0.95795035,0.73828745,0.191283833618476,0.8963250824224169,0.6241851574349626,0.7742669292699511,0.4453855140186916
0.04471512,0.9905694,0.8764225,0.96379775,0.7541784,0.1802232959003092,0.895494427636405,0.6280174887625971,0.7814637717799605,0.459696261682243
0.037165985,0.99288857,0.89967334,0.9722818,0.7895549,0.1769517353761976,0.8966002029793285,0.6566077690815257,0.7951881289482117,0.48364485981308414
0.03196272,0.99516827,0.9127878,0.9783185,0.81405246,0.1888998528925058,0.8984624609768948,0.653212513322028,0.8036028347282766,0.44684579439252337
