train_loss,train_acc,train_f1,train_map,train_subset_acc,test_loss,test_acc,test_f1,test_map,test_subset_acc
0.19012596,0.84246325,0.51376784,0.6865714,0.34327093,0.10252876952290535,0.9533227487145183,0.7326928299164104,0.8867731567855194,0.5408878504672897
0.09258696,0.96208465,0.74677646,0.90024716,0.56459683,0.09353860589527638,0.9610039474808167,0.759040487703876,0.8981156839388553,0.5674649532710281
0.08168194,0.9716591,0.774632,0.9181354,0.5975461,0.09290438845196616,0.9647788294007845,0.7571290252364684,0.8964264253589594,0.5595794392523364
0.12758753,0.93069196,0.652987,0.8098297,0.46682206,1.1685240711564215,0.6275032920258068,0.18392307185959594,0.6517015514529754,0.0943341121495327
0.10366796,0.95739365,0.72759324,0.8763274,0.5617636,0.6815791540892324,0.7184457132749469,0.5036441672628171,0.626008239304908,0.3285630841121495
0.08777416,0.9701739,0.7773391,0.9063861,0.61068475,0.41393905655245916,0.7650380596936306,0.38249260333375396,0.672537761313893,0.23072429906542055
0.07235905,0.97856396,0.80056554,0.9227674,0.64394313,0.478540839992951,0.7441578006075922,0.4083617198690076,0.5897753843080218,0.24824766355140188
0.06370166,0.98249114,0.824131,0.9388385,0.67602944,0.5810661410616937,0.6319706785344632,0.11914815906887856,0.4225970456533343,0.08060747663551401
0.0620496,0.9811825,0.8378812,0.9416629,0.70405316,0.30176390373261175,0.8097961901504303,0.4307976418009428,0.6584453237390964,0.25671728971962615
0.052362975,0.9874506,0.85709924,0.958765,0.7189792,0.27380879432241495,0.8098641750968505,0.4792054303895647,0.6305470675508552,0.290303738317757
0.04496713,0.99107003,0.8798905,0.96583676,0.7543242,0.30475744918406567,0.8239789449165915,0.5679744688149925,0.7132022269418307,0.38755841121495327
0.041857336,0.99193925,0.88586396,0.96858954,0.76125723,0.26466049706545947,0.8256163797645926,0.5423705199054468,0.6917130749359309,0.38639018691588783
