train_loss,train_acc,train_f1,train_map,train_subset_acc,test_loss,test_acc,test_f1,test_map,test_subset_acc
0.15232554,0.9008385,0.60673845,0.77201796,0.448295,0.08463333191994195,0.9691224649687794,0.7799774386058344,0.9103288583666365,0.6066004672897196
0.065003954,0.98350763,0.8177394,0.93927366,0.6678813,0.0822872520189419,0.9678907477967092,0.796411315414393,0.9179752340940671,0.6273364485981309
0.043153275,0.99330616,0.88122845,0.9726981,0.76291263,0.08776328331468819,0.9630082617296236,0.7954637720206074,0.920861087669836,0.6229556074766355
0.028642455,0.9964288,0.92721,0.9868006,0.8392968,0.09736975355543823,0.9558421273097814,0.7915535936845797,0.9155118504417277,0.6153621495327103
0.019137878,0.99882966,0.9530365,0.99424773,0.8916101,0.10496895833410949,0.9492960048613147,0.7907337217687447,0.9161735561406501,0.6194509345794392
0.012685743,0.9989257,0.9717445,0.9972344,0.93141735,0.1135697771107482,0.9468532065364802,0.781936821536483,0.9094537440861497,0.6004672897196262
0.009088587,0.99921155,0.98118365,0.9981388,0.95217794,0.11863352116371427,0.9375536803887269,0.7939461046290175,0.9146915724344342,0.6261682242990654
0.008374458,0.99909955,0.9819175,0.9977179,0.9544385,0.12428302666015714,0.9338899550036849,0.7938123077989738,0.9118791322841823,0.6212032710280374
0.007131164,0.9990271,0.98539376,0.9976596,0.9651318,0.1253584442729844,0.9357562605465684,0.7931168948378519,0.9131571761915617,0.6220794392523364
0.0054118223,0.999546,0.98862946,0.99890167,0.9721224,0.1380008577813055,0.9271589356048084,0.7958823392324359,0.9129342926996891,0.6261682242990654
0.0049824053,0.99950653,0.98992753,0.99824405,0.9773386,0.1364485998507415,0.9313494529679557,0.794666356572481,0.9112515989865098,0.6247079439252337
0.0040816613,0.99957156,0.99220484,0.9984074,0.98065513,0.13559260887798863,0.9298618536129176,0.7950360318210637,0.9129904029525329,0.6276285046728972
