train_loss,train_acc,train_f1,train_map,train_subset_acc,test_loss,test_acc,test_f1,test_map,test_subset_acc
0.15869063,0.8904334,0.5604854,0.73176,0.39511776,0.1467548144337173,0.9179044243331268,0.6096964718025422,0.7670444394940528,0.41880841121495327
0.09981601,0.9572409,0.7145506,0.8586746,0.54456246,0.14170209541220533,0.926693945287544,0.5880163200547762,0.7709303693236592,0.410338785046729
0.083048224,0.97182196,0.7598755,0.89753926,0.59911025,0.14382336184243175,0.9222175829878477,0.6196891799151341,0.7818856111196714,0.4389602803738318
0.06931858,0.9808855,0.80289483,0.92692256,0.64932066,0.13304400134170166,0.9335444597440345,0.6655434431316697,0.8094306849987707,0.47546728971962615
0.059520002,0.98483735,0.83438057,0.94262695,0.68944794,0.14324255475652553,0.920321871744138,0.6557544634163937,0.8090920286757923,0.4775116822429907
0.05139618,0.988798,0.8596965,0.9550066,0.7287836,0.1597577562538263,0.9133358491915409,0.6453319587440134,0.7825782048368009,0.46582943925233644
0.045765758,0.99090713,0.8784941,0.96289164,0.7633744,0.20031783263259959,0.8952139270639865,0.5445883747573211,0.7145659009986949,0.334696261682243
0.03940006,0.9923442,0.8953081,0.9679555,0.781783,0.24393418556618912,0.8681466222923493,0.6236303147868575,0.7642069308557243,0.4485981308411215
0.0355931,0.9931833,0.9063784,0.9769018,0.80049837,0.15216364948270478,0.9201569891421595,0.7151343917178217,0.8445806035371585,0.5382593457943925
0.027315097,0.99630684,0.9290146,0.984626,0.84253067,0.1783322857640614,0.9047110593207529,0.6851021218522687,0.8206900469610624,0.5011682242990654
0.024816424,0.99637866,0.93750376,0.985847,0.8572216,0.19241646224650266,0.9012623919504825,0.6914579695630296,0.826493356272439,0.495911214953271
0.022617642,0.9967771,0.9414136,0.98614466,0.86838716,0.17266613520055174,0.913692463781232,0.6954204774348536,0.8353084715727334,0.4929906542056075
