mae,mse,perceptual_l2,perceptual_l1,loss
0.19284983704334943,0.04446472022360666,0.004621614867842787,0.015326109296515327,0.029895414869996386
0.1002756971830141,0.012259685465683463,0.003458795282496372,0.011497760431093813,0.011878722965817419
0.0661066540529426,0.006053776493664266,0.0030777135670842916,0.010226186148593499,0.008139981311744154
0.048016712641532955,0.0037726748032198645,0.0027824037470595623,0.009333575164073373,0.0065531249921375635
0.037038393454508226,0.002716728707332157,0.002544999578896188,0.008637842663247389,0.005677285701601325
0.029685712010097367,0.0021406634426505916,0.0023505255537940592,0.008055941273249156,0.00509830236420636
0.024535209326620525,0.0018058580423717793,0.002201182363758618,0.007595816537766448,0.004700837284147797
0.020626709083248925,0.0015817426411871174,0.0020738119702346466,0.007197501511454239,0.004389622080677873
0.017603979823170607,0.00142889030455592,0.0019721032766939896,0.006877440909163279,0.004153165607865106
0.015220954898036945,0.0013164589628434228,0.0018818219435435225,0.0065972276198214734,0.003956843289097989
0.013206832818758465,0.0012187338802845517,0.001793450996549639,0.006319024334634849,0.0037688791051135183
0.011630390845811184,0.001154353241516624,0.0017278824792996107,0.0061157588139104865,0.003635056031735582
