mae,mse,perceptual_l2,perceptual_l1,loss
0.16278187746107006,0.03208327670572701,0.0062709266209041775,0.024030334364458374,0.03208327670572701
0.08525429384321719,0.009148563507715536,0.004149383936352642,0.016551668696720402,0.009148563507715536
0.0564588049351597,0.004688744281727871,0.0034861007750913815,0.014242791906785714,0.004688744281727871
0.04165519570177439,0.0030838918153575537,0.0030843062467529885,0.01291154996597435,0.0030838918153575537
0.03255023836960834,0.002305902201492847,0.002791123312313446,0.011957859089544432,0.002305902201492847
0.026630079509572423,0.0018878478325381445,0.0025751909992752344,0.011282620390237178,0.0018878478325381445
0.02237547278375635,0.0016210476591675444,0.0023958541965916494,0.01073883354642398,0.0016210476591675444
0.01916954748961724,0.001437336860685797,0.002245387214373604,0.010275366215568014,0.001437336860685797
0.016691535500355507,0.0013015518057018863,0.002111575354182031,0.009860392339928022,0.0013015518057018863
0.014641168988497495,0.0011888939416708135,0.0019865503879675137,0.009450550961545928,0.0011888939416708135
0.013052852806454657,0.0011067615212844023,0.0018835730654957943,0.009127797371209126,0.0011067615212844023
0.011714511291765664,0.0010315761829935543,0.0017818034842839168,0.008808178165766649,0.0010315761829935543
