epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,7028.98,0.84795,1.65893,1.18183,0.99727,0.57985,0.40979,0.44087,0.32263,0.56616,0.40633,0.4278,0.28147,0.85829,1.6517,1.03906,0.96216,0.007129,0.007129,0.007129
31,7255.54,0.8487,1.65494,1.1784,0.99649,0.58269,0.41276,0.44154,0.32475,0.56779,0.40916,0.42871,0.28247,0.85762,1.64927,1.03812,0.96161,0.00703,0.00703,0.00703
32,7490.3,0.84545,1.64936,1.17754,0.99652,0.58121,0.41424,0.44207,0.3243,0.56907,0.40891,0.42899,0.28331,0.85696,1.64797,1.03667,0.96136,0.006931,0.006931,0.006931
33,7724.54,0.84416,1.65131,1.17312,0.99418,0.58321,0.41274,0.44186,0.32518,0.56998,0.40821,0.42897,0.28361,0.85643,1.64627,1.0349,0.96089,0.006832,0.006832,0.006832
34,7954.63,0.84236,1.64633,1.17034,0.99315,0.58679,0.41247,0.44316,0.32596,0.57388,0.40809,0.43,0.28462,0.85679,1.64449,1.03321,0.96124,0.006733,0.006733,0.006733
35,8187.18,0.84142,1.64227,1.16858,0.99339,0.5816,0.41774,0.44342,0.32519,0.61207,0.4114,0.43027,0.28395,0.85675,1.64267,1.03159,0.96121,0.006634,0.006634,0.006634
36,8418.33,0.84045,1.64047,1.16549,0.99268,0.58072,0.41707,0.44387,0.32544,0.61682,0.41106,0.43157,0.28428,0.85591,1.641,1.02971,0.96069,0.006535,0.006535,0.006535
37,8652.82,0.83639,1.63566,1.15744,0.99127,0.58307,0.42028,0.44488,0.32616,0.57461,0.41596,0.43259,0.28486,0.85514,1.63796,1.02885,0.96028,0.006436,0.006436,0.006436
38,8883.56,0.83432,1.63049,1.15351,0.99044,0.5872,0.4189,0.44639,0.32755,0.57602,0.4127,0.43364,0.28614,0.85382,1.63552,1.02757,0.9598,0.006337,0.006337,0.006337
39,9117.89,0.83417,1.63313,1.15073,0.98971,0.59111,0.41803,0.44858,0.32909,0.58275,0.4125,0.4358,0.28827,0.85357,1.6337,1.02649,0.95942,0.006238,0.006238,0.006238
40,9350.18,0.83144,1.62665,1.14854,0.98842,0.5926,0.41801,0.45033,0.33029,0.59785,0.40992,0.43752,0.28544,0.85267,1.63157,1.02461,0.95883,0.006139,0.006139,0.006139
41,9582.47,0.83145,1.62411,1.14464,0.98909,0.60452,0.41892,0.45169,0.33139,0.60227,0.4107,0.43881,0.28665,0.8515,1.62965,1.02278,0.95802,0.00604,0.00604,0.00604
42,9810.25,0.82983,1.61904,1.14443,0.98813,0.59766,0.42382,0.4529,0.33361,0.60101,0.41294,0.43966,0.2875,0.85114,1.62706,1.02135,0.95775,0.005941,0.005941,0.005941
43,10045.7,0.83009,1.6206,1.14285,0.98855,0.56055,0.42779,0.45255,0.33328,0.55412,0.41713,0.43985,0.2867,0.85126,1.62682,1.02013,0.95755,0.005842,0.005842,0.005842
44,10277.9,0.82876,1.62126,1.14298,0.98794,0.56008,0.42893,0.45304,0.3339,0.55403,0.41803,0.44041,0.28727,0.85087,1.62469,1.01964,0.95719,0.005743,0.005743,0.005743
45,10511.8,0.82432,1.61452,1.13671,0.98576,0.57613,0.41998,0.45317,0.33363,0.57064,0.41258,0.44068,0.28764,0.85088,1.62325,1.01906,0.95693,0.005644,0.005644,0.005644
46,10739.7,0.82188,1.60436,1.13256,0.98532,0.58178,0.41928,0.45355,0.33398,0.57482,0.4139,0.44211,0.28826,0.84995,1.62233,1.01748,0.95634,0.005545,0.005545,0.005545
47,10974,0.82069,1.60439,1.12761,0.98441,0.58764,0.41989,0.45504,0.33527,0.57691,0.41392,0.44261,0.28893,0.84888,1.61967,1.01603,0.95569,0.005446,0.005446,0.005446
48,11202.7,0.81897,1.5995,1.12515,0.98326,0.58933,0.41855,0.4547,0.3348,0.58933,0.40849,0.44253,0.2892,0.84807,1.61733,1.01445,0.95545,0.005347,0.005347,0.005347
49,11437.6,0.81871,1.60335,1.12268,0.98236,0.59155,0.41648,0.45508,0.33489,0.59415,0.40806,0.44355,0.28948,0.84724,1.61434,1.01318,0.95495,0.005248,0.005248,0.005248
50,11673.5,0.81959,1.60311,1.12483,0.98283,0.59629,0.41258,0.45575,0.33515,0.59216,0.40781,0.4439,0.28948,0.84635,1.61204,1.01196,0.95438,0.005149,0.005149,0.005149
51,11902.4,0.81303,1.58688,1.11725,0.98117,0.60821,0.41416,0.4568,0.3358,0.58808,0.39818,0.43337,0.288,0.84493,1.61065,1.01128,0.95356,0.00505,0.00505,0.00505
52,12136.7,0.81469,1.5923,1.1176,0.98131,0.55484,0.43436,0.4578,0.33703,0.60336,0.41034,0.44567,0.29121,0.84392,1.60939,1.00952,0.95311,0.004951,0.004951,0.004951
53,12369,0.8119,1.58701,1.11194,0.98025,0.53075,0.45512,0.45961,0.33833,0.52244,0.44975,0.44725,0.29257,0.84332,1.60734,1.00785,0.9528,0.004852,0.004852,0.004852
54,12602.3,0.81398,1.59147,1.11316,0.98071,0.57626,0.45067,0.46186,0.33956,0.5735,0.43602,0.44983,0.29399,0.8426,1.60497,1.006,0.95248,0.004753,0.004753,0.004753
55,12835.7,0.81354,1.58416,1.10695,0.97947,0.57952,0.44961,0.46232,0.33919,0.57001,0.44411,0.44933,0.29354,0.84188,1.60348,1.00479,0.95209,0.004654,0.004654,0.004654
56,13065.3,0.81305,1.58631,1.11047,0.98119,0.59074,0.44769,0.46232,0.33992,0.58683,0.43328,0.44923,0.2937,0.84187,1.60225,1.00291,0.95187,0.004555,0.004555,0.004555
57,13298.7,0.80594,1.572,1.10417,0.97798,0.58068,0.44925,0.46236,0.3402,0.58207,0.4415,0.44959,0.29385,0.84201,1.60092,1.0013,0.95241,0.004456,0.004456,0.004456
58,13530.8,0.80686,1.57403,1.10269,0.97736,0.58003,0.44916,0.46257,0.34075,0.57112,0.44205,0.44895,0.29338,0.84136,1.59898,1.00027,0.95186,0.004357,0.004357,0.004357
